StudentID,Name,Grade,Age,Club,SignupDate
1,Student_1,9,14,Art,21-Feb-24
2,Student_2,10,15,Science,1/15/24
3,Student_3,9,,Basketball,3/12/24
4,Student_4,9,14,Science,3/1/24
5,Student_5,9,,Science,21-Jan-24
6,Student_6,Freshman,14,Music,23-Mar-24
7,Student_7,9,15,Art,27-Mar-24
8,Student_8,11,16,Science,3/15/24
9,Student_9,11,14,Drama,15-Mar-24
10,Student_10,9,14,Chess,28-Mar-24
11,Student_11,9,144,Music,1/24/24
12,Student_12,12,17,Music,3-Jan-24
13,Student_13,11,,Science,1/22/24
14,Student_14,9,14,Chess,2/22/24
15,Student_15,10,14,Basketball,2-Jan-24
16,Student_16,12,17,Science,28-Mar-24
17,Student_17,11,16,Art,30-Jan-24
18,Student_18,9,,Art,2/7/24
19,Student_19,10,15,Basketball,2-Jan-24
20,Student_20,11,,Science,4-Mar-24
